job_id,user,vc,gpu_num,cpu_num,node_num,state,submit_time,start_time,end_time,duration,queue
407195,ugHwI,vccJW,1,1,1,COMPLETED,2020-04-01 18:32:44,2020-04-01 18:32:44,2020-04-01 18:33:45,61,0
407199,ugHwI,vccJW,4,4,1,COMPLETED,2020-04-01 18:35:21,2020-04-01 18:35:21,2020-04-01 18:36:19,58,0
407200,ugHwI,vccJW,4,4,1,COMPLETED,2020-04-01 18:35:50,2020-04-01 18:35:50,2020-04-01 18:39:22,212,0
407202,ugHwI,vccJW,8,8,1,COMPLETED,2020-04-01 18:36:17,2020-04-01 18:36:17,2020-04-01 18:37:18,61,0
407203,ugHwI,vccJW,4,4,1,COMPLETED,2020-04-01 18:36:49,2020-04-01 18:36:49,2020-04-01 18:40:48,239,0
407212,ugHwI,vccJW,8,8,1,COMPLETED,2020-04-01 18:43:34,2020-04-01 18:43:34,2020-04-01 18:47:29,235,0
407215,ugHwI,vccJW,8,8,1,COMPLETED,2020-04-01 18:51:12,2020-04-01 18:51:12,2020-04-01 18:54:23,191,0
407217,u4TfD,vcWoR,1,1,1,COMPLETED,2020-04-01 18:52:40,2020-04-01 18:52:40,2020-04-01 20:00:36,4076,0
407218,ugHwI,vcP2J,8,8,1,COMPLETED,2020-04-01 18:53:45,2020-04-01 18:53:45,2020-04-02 02:45:42,28317,0
407220,ugHwI,vccJW,8,8,1,COMPLETED,2020-04-01 19:00:06,2020-04-01 19:00:06,2020-04-02 03:42:19,31333,0
407221,ugHwI,vccJW,1,1,1,COMPLETED,2020-04-01 19:01:53,2020-04-01 19:01:53,2020-04-01 19:02:59,66,0
407224,ugHwI,vccJW,1,1,1,COMPLETED,2020-04-01 19:04:56,2020-04-01 19:04:56,2020-04-01 19:06:01,65,0
407226,uJcI8,vcWoR,1,1,1,COMPLETED,2020-04-01 19:06:50,2020-04-01 19:06:50,2020-04-01 19:09:05,135,0
407227,uJcI8,vcWoR,1,1,1,COMPLETED,2020-04-01 19:09:23,2020-04-01 19:09:23,2020-04-01 19:11:49,146,0
407229,u3YfL,vcKrE,2,1,1,COMPLETED,2020-04-01 19:10:38,2020-04-01 19:11:06,2020-04-02 06:58:55,42469,28
407230,uXCms,vcHvQ,8,1,1,COMPLETED,2020-04-01 19:12:52,2020-04-01 19:12:52,2020-04-01 19:12:53,1,0
407231,uJcI8,vcWoR,0,1,1,COMPLETED,2020-04-01 19:13:00,2020-04-01 19:13:00,2020-04-01 19:17:15,255,0
407233,uXCms,vcHvQ,8,1,1,COMPLETED,2020-04-01 19:15:29,2020-04-01 19:15:29,2020-04-01 19:16:38,69,0
407234,uJcI8,vcWoR,1,1,1,COMPLETED,2020-04-01 19:17:30,2020-04-01 19:17:30,2020-04-01 19:19:48,138,0
407240,uXCms,vcHvQ,8,1,1,COMPLETED,2020-04-01 19:24:00,2020-04-01 19:24:00,2020-04-01 19:25:07,67,0
