job_id,user,vc,gpu_num,cpu_num,node_num,state,submit_time,start_time,end_time,duration,queue
559996,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
559997,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:36:29,255,0
559998,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:16,182,0
559999,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:54,160,0
560000,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:17,183,0
560001,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:22,188,0
560002,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:01,167,0
560003,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:21,187,0
560004,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:46,152,0
560005,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:54,160,0
560006,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:57,163,0
560007,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:53,159,0
560008,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:03,169,0
560009,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:02,168,0
560010,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:01,167,0
560011,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560012,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:43,209,0
560013,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560014,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:05,171,0
560015,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:02,168,0
560016,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:16,182,0
560017,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:56,162,0
560018,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:55,161,0
560019,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:00,166,0
560020,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:48,154,0
560021,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:13,179,0
560022,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560023,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:08,174,0
560024,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:58,164,0
560025,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560026,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:00,166,0
560027,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:09,175,0
560028,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:10,176,0
560029,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:54,160,0
560030,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:04,170,0
560031,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:58,164,0
560032,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:01,167,0
560033,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:15,181,0
560034,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:00,166,0
560035,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560036,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:20,186,0
560037,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:10,176,0
560038,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:56,162,0
560039,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:23,189,0
560040,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:01,167,0
560041,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:03,169,0
560042,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:22,188,0
560043,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:51,157,0
560044,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:53,159,0
560045,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:49,155,0
560046,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:03,169,0
560047,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:38:33,379,0
560048,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560049,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:59,165,0
560050,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:36:08,234,0
560051,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:56,162,0
560052,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:39:29,435,0
560053,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:02,168,0
560054,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:57,163,0
560055,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:55,161,0
560056,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:00,166,0
560057,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:22,188,0
560058,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:58,164,0
560059,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:09,175,0
560060,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:09,175,0
560061,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:55,161,0
560062,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:34:53,159,0
560063,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:08,174,0
560064,uWYZh,vcIya,8,8,1,COMPLETED,2020-05-10 01:32:14,2020-05-10 01:32:14,2020-05-10 01:35:19,185,0
