task_id,original_arrival_time,eventual_arrival_time,cpu_required,transferred,actual_completion_timestamp,original_duration,actual_duration,data_transferred,data_load,transfer_completion_time
0,0,350,1,true,428,78,428,3987.60,3987.60,271
1,1,526,1,true,621,95,620,4857.00,4857.00,429
2,2,529,1,true,624,95,622,4859.00,4859.00,431
3,3,593,1,true,714,121,711,6193.20,6193.20,468
4,4,532,1,true,627,95,623,4858.00,4858.00,432
5,5,566,1,true,673,107,668,5469.40,5469.40,453
6,6,594,1,true,715,121,709,6193.20,6193.20,466
7,7,535,1,true,630,95,623,4860.00,4860.00,432
8,8,409,1,true,486,77,478,3938.40,3938.40,323
9,9,595,1,true,716,121,707,6188.20,6188.20,464
