job_id,user,vc,gpu_num,cpu_num,node_num,state,submit_time,start_time,end_time,duration,queue
668274,ujQmo,vcEwI,1,1,1,COMPLETED,2020-07-26 13:09:52,2020-07-26 13:42:57,2020-07-26 14:28:02,2705,1985
668275,uTHVv,vcvlY,8,8,1,COMPLETED,2020-07-26 13:10:21,2020-07-26 13:10:21,2020-07-26 13:45:10,2089,0
668279,uJjMX,vcvGl,32,160,4,COMPLETED,2020-07-26 13:42:33,2020-07-26 15:02:31,2020-07-31 10:27:11,415480,4798
668287,uYlPU,vcEwI,1,1,1,COMPLETED,2020-07-26 14:16:03,2020-07-26 14:28:36,2020-07-26 14:28:48,12,753
668289,uYlPU,vcEwI,1,1,1,COMPLETED,2020-07-26 14:35:02,2020-07-26 14:35:02,2020-07-26 14:48:55,833,0
668291,ujQmo,vcEwI,1,1,1,COMPLETED,2020-07-26 14:48:05,2020-07-26 14:49:05,2020-07-26 15:33:53,2688,60
668292,ujQmo,vcEwI,1,1,1,COMPLETED,2020-07-26 15:01:58,2020-07-26 15:01:58,2020-07-26 15:32:38,1840,0
668295,uJjMX,vcvGl,8,1,1,COMPLETED,2020-07-26 15:02:31,2020-07-26 15:02:31,2020-07-26 16:39:04,5793,0
668296,uYlPU,vcEwI,1,1,1,COMPLETED,2020-07-26 15:03:45,2020-07-26 15:03:45,2020-07-26 15:04:12,27,0
668304,utyTF,vcEwI,2,2,1,COMPLETED,2020-07-26 15:15:50,2020-07-26 15:15:50,2020-07-26 15:29:22,812,0
668305,utyTF,vcEwI,2,2,1,COMPLETED,2020-07-26 15:15:53,2020-07-26 15:15:53,2020-07-26 15:29:22,809,0
668306,utyTF,vcEwI,2,2,1,COMPLETED,2020-07-26 15:15:55,2020-07-26 15:15:55,2020-07-26 15:29:22,807,0
668309,uEeGd,vcEwI,8,8,1,COMPLETED,2020-07-26 15:21:16,2020-07-26 15:21:16,2020-07-26 16:00:13,2337,0
668310,uYlPU,vcEwI,1,1,1,COMPLETED,2020-07-26 15:22:26,2020-07-26 15:22:26,2020-07-26 15:22:30,4,0
668311,uYlPU,vcEwI,1,1,1,COMPLETED,2020-07-26 15:22:40,2020-07-26 15:22:40,2020-07-26 15:28:15,335,0
668313,utyTF,vcEwI,2,2,1,COMPLETED,2020-07-26 15:34:51,2020-07-26 15:34:51,2020-07-26 15:44:02,551,0
668314,utyTF,vcEwI,2,2,1,COMPLETED,2020-07-26 15:34:53,2020-07-26 15:34:53,2020-07-26 15:44:02,549,0
