task_id,original_arrival_time,eventual_arrival_time,cpu_required,transferred,actual_completion_timestamp,original_duration,actual_duration,data_transferred,data_load,transfer_completion_time
0,0,429,2,true,495,66,495,6751.40,6751.40,296
1,7,290,2,true,344,54,337,5525.60,5525.60,174
2,14,15885,64,true,16049,164,16035,537391.20,537391.20,5374
3,21,385,1,true,498,113,477,5783.60,5783.60,250
4,28,758,2,true,916,158,888,16172.20,16172.20,413
5,35,470,2,true,535,65,500,6652.00,6652.00,304
6,42,558,2,true,641,83,599,8495.20,8495.20,349
7,49,30859,24,true,31708,849,31659,1043247.20,1043247.20,10433
8,56,85407,64,true,86289,882,86233,2890135.60,2890135.60,28902
9,63,743,2,true,886,143,823,14639.20,14639.20,393
